CAMISA,MANGA,CAJERO/CONTADOR/GERENTE/INGENIERO,MATERIAL_CORBATA,CHAQUETA_TWEED,LARGO_CORBATA,CUELLO_CAMISA,CUELLO_USUARIO,GROSOR_CORBATA,ANCHO_CORBATA,RESULTADO
Formal,Larga,,Sintético,,Larga,Inglés,,,,Prince Albert
Formal,Larga,,Sintético,,Larga,Italiano,,,,Windsor
Formal,Larga,,Sintético,,Corta,Inglés,Grueso,,,Half Windsor
Formal,Larga,,Sintético,,Corta,Inglés,Delgado,Gruesa,,Four in Hand
Formal,Larga,,Sintético,,Corta,Inglés,Delgado,Delgada,Ancha,Kent
Formal,Larga,,Sintético,,Corta,Inglés,Delgado,Delgada,Delgada,Four in Hand
Formal,Larga,,Sintético,,Corta,Italiano,Grueso,Gruesa,,Prince Albert
Formal,Larga,,Sintético,,Corta,Italiano,Grueso,Delgada,Ancha,Prince Albert
Formal,Larga,,Sintético,,Corta,Italiano,Grueso,Delgada,Delgada,Windsor
Formal,Larga,,Sintético,,Corta,Italiano,Delgado,Gruesa,,Windsor
Formal,Larga,,Sintético,,Corta,Italiano,Delgado,Delgada,,Prince Albert
Formal,Larga,,Lana/Punto,Si,,,,,,Four in Hand / Kent
Formal,Larga,,Lana/Punto,No,,,,,,Oops. Deberias considerar cambiar de corbata
Formal,Corta,Si,,,,,,,,Four in Hand
Formal,Corta,No,,,,,,,,Consigue una camisa de manga larga y hablaremos después
Informal,,,,,,,,,,Consigue una camisa formal y hablaremos después
